from,to,score
C1QA,TYROBP,0.89
C1QA,SERPING1,0.973
C1QA,TMEM119,0.705
C1QA,VSIG4,0.971
C1QB,C1QC,0.999
C1QB,C1R,0.995
C1QB,C1S,0.995
C1QB,C3AR1,0.74
C1QB,CD163,0.783
C1QB,FCER1G,0.718
C1QB,ITGB2,0.708
C1QB,MS4A4A,0.764
C1QB,PTX3,0.914
C1QB,TYROBP,0.852
C1QB,SERPING1,0.98
C1QB,VSIG4,0.961
C1QC,C1R,0.993
C1QC,C1S,0.992
C1QC,TYROBP,0.724
C1QC,SERPING1,0.959
C1QC,VSIG4,0.943
C1R,C1S,0.999
C1R,C3,0.935
C1R,CFH,0.844
C1R,MASP1,0.769
C1R,SERPING1,0.999
C1RL,CD163,0.783
C1S,C3,0.908
C1S,CD163,0.703
C1S,CFH,0.744
C1S,CLU,0.74
C1S,MASP1,0.851
C1S,PTX3,0.811
C1S,SERPING1,0.999
C3,C3AR1,0.998
C3,CCL2,0.737
C3,CD59,0.841
C3,CFB,0.999
C3,CFH,0.999
C3,CFHR1,0.999
C3,CLU,0.803
C3,CP,0.751
C3,CXCL8,0.783
C3,F3,0.803
C3,ICAM1,0.705
C3,ITGAM,0.999
C3,ITGB2,0.998
C3,ITIH4,0.745
C3,MASP1,0.936
C3,PTX3,0.737
C3,SCIN,0.716
C3,SERPINA1,0.859
C3,THBD,0.933
C3,SERPING1,0.954
C3,VSIG4,0.999
C3,CFD,0.998
C3,CFHR2,0.951
C3AR1,CCR1,0.733
C3AR1,CFH,0.777
C3AR1,CXCL8,0.796
C3AR1,FCER1G,0.844
C3AR1,ITGAM,0.739
C3AR1,ITGB2,0.786
C3AR1,TYROBP,0.738
C3AR1,VSIG4,0.783
C7,CLU,0.847
CA6,ENO1,0.781
CA6,SLC2A5,0.866
CACHD1,CACNA1D,0.719
CACNA1D,CACNA2D1,0.999
CACNA1D,CACNG4,0.986
CACNA1D,CALML5,0.99
CACNA1D,KCNMB2,0.733
CACNA1D,KCNN4,0.833
CACNA1D,PRKACB,0.934
CACNA1D,PRKCA,0.917
CACNA1D,PRKG1,0.917
CACNA1D,RASGRF1,0.703
CACNA1D,RYR1,0.865
CACNA1D,SYT1,0.767
CACNA2D1,CACNG4,0.972
CACNA2D1,KCNE3,0.7
CACNA2D1,PRKACB,0.704
CACNA2D1,KCNJ8,0.728
CACNA2D1,RYR1,0.929
CACNG4,GRIN2A,0.764
CACNG4,RYR1,0.729
CACNG4,SHISA9,0.767
CADM1,CEACAM5,0.733
CADM1,DLG3,0.787
CADM1,EPB41L3,0.99
CADM1,HAVCR2,0.988
CADM1,ICAM1,0.773
CADM1,IL6,0.77
CADM1,ITGB2,0.816
CADM1,NECTIN3,0.96
CADM1,NLGN1,0.819
CADM1,SDCBP,0.9
CADM1,THBD,0.779
CADM1,NLGN4X,0.725
CALCRL,GNG2,0.824
CALCRL,RAMP3,0.999
CALD1,CALML5,0.996
CALD1,ITGA1,0.716
CALD1,LMOD1,0.894
CALD1,MYH11,0.946
CALD1,MYL9,0.844
CALD1,MYLK,0.832
CALD1,SHC1,0.718
CALD1,TAGLN,0.794
CALD1,TPM1,0.869
CALD1,TPM2,0.747
CALML5,CAMK2D,0.776
CALML5,CASK,0.738
CALML5,CBS,0.755
CALML5,CNGA1,0.925
CALML5,DCLK1,0.773
CALML5,ENPEP,0.782
CALML5,FKBP1B,0.962
CALML5,FLNA,0.724
CALML5,GAP43,0.987
CALML5,GRIN2A,0.895
CALML5,IQGAP2,0.919
CALML5,KCNN4,0.859
CALML5,KCNQ5,0.701
CALML5,MYLK,0.998
CALML5,NFATC1,0.786
CALML5,NFATC4,0.728
CALML5,PDE1A,0.972
CALML5,PLCB4,0.718
CALML5,PRKACB,0.989
CALML5,PRKCA,0.719
CALML5,RASGRF1,0.956
CALML5,RGN,0.729
CALML5,SNCA,0.937
CALML5,TRPC1,0.763
CALML5,PDE1C,0.973
CALML5,RYR1,0.999
CALML5,MARCKSL1,0.962
CAMK2D,GRIN2A,0.774
CAMSAP1,TUBA1A,0.904
CAMSAP3,TUBA1A,0.902
CASK,DLG3,0.728
CASK,EPS8,0.965
CASK,GRIN2A,0.754
CASK,NLGN1,0.808
CASK,SDC2,0.966
CASK,TIAM1,0.737
CASK,NLGN4X,0.809
CASK,LIN7A,0.999
CAVIN1,CAVIN2,0.728
CAVIN1,FHL2,0.797
CAVIN1,NNMT,0.788
CAVIN1,CAVIN3,0.894
CAVIN2,CAVIN3,0.82
CBLC,FYN,0.954
CBLC,SH3GL3,0.814
CBLC,SH3KBP1,0.859
CBS,IMPDH2,0.76
CBS,MAT1A,0.847
CBS,SHMT1,0.987
CBS,SPTLC3,0.84
CBS,TBL1X,0.79
CBS,TSTD1,0.73
CCBE1,VEGFC,0.929
CCL14,CCR1,0.993
CCL18,CCL19,0.837
CCL18,CCL21,0.729
CCL18,CCR1,0.956
CCL18,CD163,0.78
CCL18,CXCL1,0.753
CCL18,CXCL2,0.704
CCL18,CXCL8,0.855
CCL18,CXCR4,0.798
CCL18,MRC1,0.771
CCL18,TSLP,0.72
CCL19,CCL2,0.892
CCL19,CCL21,0.997
CCL19,CCL3,0.831
CCL19,CCL5,0.756
CCL19,CCR1,0.912
CCL19,CXCL1,0.888
CCL19,CXCL12,0.966
CCL19,CXCL2,0.863
CCL19,CXCL6,0.844
CCL19,CXCL8,0.925
CCL19,CXCR4,0.998
CCL19,IL6,0.84
CCL19,IL7,0.784
CCL19,IL7R,0.731
CCL19,VCAM1,0.778
CCL2,CCL23,0.792
CCL2,CCL3L1,0.718
CCL2,CCL5,0.999
CCL2,CCR1,0.999
CCL2,CD163,0.784
CCL2,CD68,0.815
CCL2,CD86,0.737
CCL2,CSF1,0.833
CCL2,CXCL1,0.98
CCL2,CXCL12,0.841
CCL2,CXCL2,0.929
CCL2,CXCL6,0.704
CCL2,CXCL8,0.999
CCL2,CXCR4,0.998
CCL2,DPP4,0.714
CCL2,FGF2,0.732
CCL2,FLT1,0.791
CCL2,FN1,0.723
CCL2,GNG2,0.808
CCL2,ICAM1,0.928
CCL2,IGF1,0.76
CCL2,IL15,0.796
CCL2,IL33,0.706
CCL2,IL6,0.985
CCL2,IL7,0.813
CCL2,ITGAM,0.796
CCL2,ITGB2,0.786
CCL2,LCN2,0.781
CCL2,LGALS3,0.761
CCL2,LOX,0.71
CCL2,MMP1,0.774
CCL2,MMP2,0.704
CCL2,MMP3,0.806
CCL2,MRC1,0.827
CCL2,PPARG,0.731
CCL2,PTPRC,0.735
CCL2,SELE,0.81
CCL2,SERPINE1,0.918
CCL2,TEK,0.713
CCL2,TGFB2,0.712
CCL2,THBS1,0.742
CCL2,TIMP2,0.716
CCL2,TLR4,0.847
CCL2,TNFAIP6,0.732
CCL2,VCAM1,0.907
CCL2,TIMP1,0.867
CCL2,IL16,0.753
CCL21,CCL23,0.997
CCL21,CCL5,0.999
CCL21,CCR1,0.945
CCL21,CXCL1,0.831
CCL21,CXCL12,0.999
CCL21,CXCL14,0.997
CCL21,CXCL2,0.999
CCL21,CXCL6,0.714
CCL21,CXCL8,0.879
CCL21,CXCR4,0.999
CCL21,LYVE1,0.77
CCL21,PDPN,0.843
CCL23,CCR1,0.994
CCL3,CCL3L1,0.992
CCL3,CCL5,0.913
CCL3,CCND2,0.717
CCL3,CCR1,0.999
CCL3,CD86,0.748
CCL3,CSF1,0.728
CCL3,CXCL1,0.948
CCL3,CXCL12,0.823
CCL3,CXCL2,0.939
CCL3,CXCL8,0.977
CCL3,CXCR4,0.993
CCL3,ICAM1,0.74
CCL3,IL15,0.809
CCL3,IL1R1,0.702
CCL3,IL6,0.962
CCL3,IL7,0.856
CCL3,ITGAM,0.711
CCL3,ITIH4,0.789
CCL3,LMO2,0.705
CCL3,TGFA,0.705
CCL3,TLR4,0.815
CCL3L1,CCL5,0.854
CCL3L1,CCR1,0.998
CCL3L1,CXCL1,0.786
CCL3L1,CXCL2,0.752
CCL3L1,CXCL8,0.852
CCL3L1,CXCR4,0.844
CCL3L1,IL6,0.748
CCL5,CCR1,0.999
CCL5,CD163,0.773
CCL5,CD86,0.715
CCL5,CSF1,0.732
CCL5,CXCL1,0.958
CCL5,CXCL12,0.999
CCL5,CXCL14,0.996
CCL5,CXCL2,0.999
CCL5,CXCL6,0.999
CCL5,CXCL8,0.98
CCL5,CXCR4,0.998
CCL5,ICAM1,0.805
CCL5,IL10RA,0.712
CCL5,IL15,0.812
CCL5,IL6,0.95
CCL5,IL7,0.805
CCL5,ITGAM,0.833
CCL5,ITGB2,0.747
CCL5,ITIH4,0.827
CCL5,LGALS3,0.753
CCL5,MMP3,0.702
CCL5,PTPRC,0.721
CCL5,SDC4,0.814
CCL5,SELE,0.752
CCL5,SERPINE1,0.726
CCL5,TLR4,0.82
CCL5,TNFAIP6,0.765
CCL5,VCAM1,0.739
CCL5,TIMP1,0.74
CCL5,IL16,0.756
CCN1,CCN2,0.816
CCN1,TEAD1,0.723
CCN1,VWF,0.783
CCN2,COL1A1,0.876
CCN2,COL1A2,0.835
CCN2,COL3A1,0.782
CCN2,DCN,0.939
CCN2,FBLN1,0.721
CCN2,FBN1,0.797
CCN2,FGF2,0.8
CCN2,FN1,0.963
CCN2,HSPG2,0.909
CCN2,IGF1,0.83
CCN2,IL6,0.771
CCN2,LOX,0.763
CCN2,MMP2,0.839
CCN2,MMP3,0.834
CCN2,POSTN,0.716
CCN2,SDC4,0.797
CCN2,SERPINE1,0.819
CCN2,TAGLN,0.756
CCN2,TEAD1,0.843
CCN2,TGFB2,0.725
CCN2,TGFB3,0.772
CCN2,TGFBR1,0.775
CCN2,TGFBR2,0.748
CCN2,THBS1,0.749
CCN2,TIMP1,0.816
CCN2,TIMP3,0.735
CCN2,VWF,0.884
CCN2,TEAD2,0.759
CCN3,VWF,0.7
CCND2,LMO2,0.847
CCND2,E2F3,0.747
CCNG2,FOXO3,0.806
CCR1,CXCL1,0.98
CCR1,CXCL12,0.946
CCR1,CXCL14,0.781
CCR1,CXCL2,0.936
CCR1,CXCL6,0.865
CCR1,CXCL8,0.997
CCR1,CXCR4,0.939
CCR1,FCER1G,0.737
CCR1,GNG2,0.822
CCR1,IL10RA,0.708
CCR1,IL6,0.753
CCR1,ITGAM,0.711
CCR1,ITGB2,0.743
CCR1,PTAFR,0.755
CCR1,TLR4,0.725
CCR1,TYROBP,0.731
CCR1,TNFRSF1B,0.864
CD14,FCER1G,0.718
CD14,ITGAM,0.75
CD14,ITGB2,0.805
CD14,LY96,0.977
CD14,S100A8,0.746
CD14,S100A9,0.767
CD14,TLR4,0.995
CD14,TYROBP,0.817
CD163,CD36,0.981
CD163,CD68,0.919
CD163,CD86,0.832
CD163,CSF1,0.734
CD163,FCGR2A,0.704
CD163,IL6,0.964
CD163,ITGAM,0.819
CD163,MRC1,0.93
CD163,MS4A4A,0.843
CD163,MS4A6A,0.873
CD163,PECAM1,0.708
CD163,PTPRC,0.841
CD163,TLR4,0.814
CD163,VSIG4,0.938
CD163,MS4A7,0.799
CD163,STAB1,0.727
CD200,CD47,0.775
CD200,PTPRC,0.937
CD200,SIRPA,0.983
CD24,ENG,0.702
CD24,EPCAM,0.91
CD24,L1CAM,0.984
CD24,PECAM1,0.847
CD24,PTPRC,0.78
CD24,SELE,0.899
CD24,SIRPA,0.88
CD24,SOX2,0.734
CD24,THY1,0.71
CD248,FN1,0.968
CD248,PLXDC1,0.824
CD302,LY75-CD302,0.865
CD36,CD47,0.994
CD36,CD68,0.797
CD36,CLEC7A,0.787
CD36,COL1A1,0.72
CD36,COL1A2,0.735
CD36,COMP,0.953
CD36,FCER1G,0.734
CD36,FN1,0.702
CD36,FYN,0.983
CD36,ICAM1,0.806
CD36,IL6,0.73
CD36,ITGAM,0.805
CD36,ITGB2,0.809
CD36,LPL,0.877
CD36,LY96,0.734
CD36,LYN,0.987
CD36,MSR1,0.817
CD36,PECAM1,0.851
CD36,PLIN2,0.712
CD36,PPARG,0.942
CD36,PPARGC1A,0.843
CD36,PROCR,0.832
CD36,PTPRC,0.77
CD36,S100A9,0.806
CD36,SCARF1,0.837
CD36,SELE,0.724
CD36,SIRPA,0.75
CD36,THBS1,0.999
CD36,TLR4,0.998
CD36,VCAM1,0.771
CD36,VWF,0.803
CD36,THBS2,0.995
CD36,THBS4,0.96
CD36,TLR6,0.997
CD47,COMP,0.955
CD47,FN1,0.703
CD47,ITGB2,0.701
CD47,PECAM1,0.7
CD47,PTPRC,0.977
CD47,SCARB1,0.994
CD47,SCARB2,0.994
CD47,SIRPA,0.999
CD47,THBS1,0.999
CD47,TLR4,0.768
CD47,THBS2,0.978
CD47,THBS4,0.96
CD53,EVI2B,0.726
CD53,ITGB2,0.829
CD53,LAPTM5,0.93
CD53,LCP2,0.796
CD53,MNDA,0.723
CD53,PTPRC,0.821
CD53,TYROBP,0.791
CD53,UPK1B,0.725
CD59,CFH,0.83
CD59,CLU,0.733
CD59,SERPING1,0.776
CD68,CD86,0.79
CD68,CSF1,0.723
CD68,IL6,0.839
CD68,ITGAM,0.896
CD68,LGALS3,0.706
CD68,MRC1,0.877
CD68,MSR1,0.77
CD68,P2RY12,0.708
CD68,PECAM1,0.823
CD68,PTPRC,0.888
CD68,PXDN,0.793
CD68,SCARB1,0.79
CD68,SCARB2,0.79
CD68,THY1,0.704
CD68,TLR4,0.726
CD68,TYROBP,0.796
CD68,VWF,0.708
CD68,LAMP3,0.922
CD69,CD86,0.839
CD69,CXCL8,0.756
CD69,CXCR4,0.701
CD69,HAVCR2,0.726
CD69,IL15,0.758
CD69,IL6,0.72
CD69,IL7R,0.9
CD69,ITGA4,0.784
CD69,ITGAM,0.805
CD69,PTPRC,0.882
CD69,RGS1,0.834
CD69,S1PR1,0.995
CD69,GPR183,0.745
CD86,CSF1,0.857
CD86,CXCR4,0.801
CD86,FCGR2A,0.788
CD86,HAVCR2,0.971
CD86,ICAM1,0.985
CD86,IL1R1,0.75
CD86,IL6,0.862
CD86,ITGAM,0.913
CD86,ITGB2,0.807
CD86,MRC1,0.871
CD86,PTPRC,0.879
CD86,TLR4,0.841
CD86,LY75-CD302,0.783
CD86,TLR6,0.716
CD86,LY75,0.748
CD86,PDCD1LG2,0.972
CD86,TLR8,0.83
CD93,GIPC1,0.798
CD93,PECAM1,0.792
CD99L2,KIT,0.723
CD99L2,PECAM1,0.775
CD99L2,PTPRC,0.728
CDC42EP3,CDC42EP5,0.971
CDC42EP3,RHOQ,0.982
CDC42EP5,RHOQ,0.843
CDC42EP5,SEPTIN6,0.893
CDH5,CLDN5,0.993
CDH5,EMCN,0.786
CDH5,ENG,0.879
CDH5,F11R,0.797
CDH5,FLT1,0.833
CDH5,FN1,0.704
CDH5,FYN,0.752
CDH5,ICAM1,0.719
CDH5,KIT,0.723
CDH5,LYVE1,0.707
CDH5,MCAM,0.703
CDH5,OCLN,0.98
CDH5,PECAM1,0.999
CDH5,PTPRB,0.982
CDH5,PTPRC,0.806
CDH5,PTPRJ,0.811
CDH5,ROBO4,0.707
CDH5,SELE,0.98
CDH5,TAGLN,0.722
CDH5,TEK,0.901
CDH5,THY1,0.733
CDH5,TIE1,0.807
CDH5,VCAM1,0.806
CDH5,VWF,0.881
CDS1,LPIN1,0.925
CDS1,LPIN2,0.919
CDS1,MBOAT2,0.945
CDS1,PLD1,0.954
CDS1,PLPP3,0.937
CDS1,PLPP4,0.905
CEACAM5,CEACAM6,0.71
CEACAM5,EPCAM,0.757
CEACAM5,KRT19,0.877
CEACAM5,KRT7,0.883
CEACAM5,LGALS3,0.717
CEACAM5,MUC1,0.925
CEACAM5,GRP,0.705
CEACAM6,FN1,0.707
CELSR1,DAAM1,0.725
CELSR1,FZD3,0.881
CELSR1,PRICKLE1,0.788
CELSR1,PRICKLE2,0.782
CENPU,H2AC6,0.8
CENPU,H2BC10,0.803
CENPU,H2BC4,0.81
CENPU,H2BC8,0.804
CERS3,CERS6,0.927
CERS3,DEGS1,0.965
CERS3,PLPP3,0.926
CERS3,SPHK1,0.95
CERS6,DEGS1,0.977
CERS6,PLPP3,0.925
CERS6,SPHK1,0.966
CERS6,SPTLC3,0.768
CFB,CFH,0.961
CFB,CFHR1,0.921
CFB,SERPINA1,0.725
CFB,SERPING1,0.88
CFB,CFD,0.997
CFH,CFHR1,0.91
CFH,EFEMP1,0.786
CFH,MASP1,0.778
CFH,PTX3,0.913
CFH,THBD,0.908
CFH,SERPING1,0.722
CFH,RBMS2,0.716
CFH,STX2,0.74
CFHR1,CFHR2,0.89
CFL2,CORO1A,0.842
CFL2,DBN1,0.723
CFL2,FLNA,0.888
CFL2,FLNB,0.821
CFL2,HCLS1,0.995
CFL2,SCIN,0.846
CFL2,WIPF1,0.842
CFTR,CLCA2,0.829
CFTR,DAB2,0.742
CFTR,FLNA,0.957
CFTR,NEDD4L,0.764
CFTR,PRKACB,0.976
CFTR,RHOQ,0.721
CFTR,SCNN1A,0.821
CFTR,SLC26A4,0.767
CFTR,CLCA4,0.747
CFTR,RFLNB,0.707
CH25H,FA2H,0.703
CH25H,HMGCS1,0.783
CH25H,SOAT1,0.888
CH25H,PTGIS,0.704
CHI3L1,IL13RA2,0.984
CHI3L1,LCN2,0.801
CHI3L1,LGALS3,0.737
CHL1,NRP1,0.949
CHPT1,DGKB,0.707
CHPT1,LPCAT2,0.962
CHPT1,LPIN1,0.938
CHPT1,LPIN2,0.928
CHPT1,PAFAH1B2,0.9
CHPT1,PLD1,0.941
CHPT1,PLPP3,0.949
CHPT1,PLPP4,0.919
CHSY3,CSGALNACT1,0.924
CHSY3,GALNT3,0.762
CHSY3,CSGALNACT2,0.924
CITED2,FOXO3,0.933
CITED2,TFAP2B,0.88
CKMT1A,CKMT1B,0.999
CKMT1B,SLC6A8,0.921
CLC,RNASE2,0.758
CLCA2,CLCA4,0.917
CLDN1,CLDN11,0.703
CLDN1,CLDN4,0.944
CLDN1,CLDN5,0.872
CLDN1,EPHA2,0.704
CLDN1,F11R,0.991
CLDN1,JAM2,0.701
CLDN1,MARVELD2,0.889
CLDN1,OCLN,0.999
CLDN1,SCARB1,0.934
CLDN1,TACSTD2,0.899
CLDN11,CLDN4,0.721
CLDN11,CLDN5,0.728
CLDN11,OCLN,0.958
CLDN11,PMP22,0.856
CLDN4,CLDN5,0.787
CLDN4,CLDN7,0.953
CLDN4,EPCAM,0.785
CLDN4,EPHA2,0.845
CLDN4,F11R,0.924
CLDN4,MARVELD2,0.795
CLDN4,OCLN,0.996
CLDN5,CLDN7,0.878
CLDN5,F11R,0.956
CLDN5,IL6,0.708
CLDN5,MARVELD2,0.774
CLDN5,OCLN,0.999
CLDN5,PECAM1,0.845
CLDN5,ROBO4,0.732
CLDN5,VWF,0.92
CLDN7,EPCAM,0.993
CLDN7,F11R,0.982
CLDN7,MARVELD2,0.964
CLDN7,OCLN,0.999
CLDN7,SCARB1,0.893
CLDN7,TACSTD2,0.966
CLDN7,TSPAN8,0.914
CLEC14A,MMRN2,0.927
CLEC3B,ENO1,0.762
CLEC3B,SELENOP,0.729
CLEC7A,FCER1G,0.83
CLEC7A,LGALS3,0.994
CLEC7A,LSP1,0.916
CLEC7A,PTPRC,0.752
CLEC7A,SCARB1,0.727
CLEC7A,SCARB2,0.761
CLEC7A,SCARF1,0.751
CLEC7A,SYK,0.999
CLEC7A,TLR4,0.978
CLEC7A,TYROBP,0.704
CLEC7A,TGFBR3,0.781
CLEC7A,LY75-CD302,0.722
CLEC7A,TLR6,0.852
CLEC7A,LY75,0.739
CLIC2,CLIC4,0.853
CLIC2,CLIC5,0.857
CLIC4,CLIC5,0.857
CLIC4,CLIC6,0.801
CLIC5,MSN,0.841
CLMP,TFPI,0.789
CLU,CP,0.794
CLU,FN1,0.802
CLU,LPA,0.806
CLU,LPL,0.773
CLU,LTBP2,0.704
CLU,MS4A6A,0.714
CLU,PLTP,0.894
CLU,PLXNA4,0.802
CLU,SAA1,0.72
CLU,SAA2,0.705
CLU,SERPINA1,0.896
CLU,SNCA,0.861
CLU,SERPING1,0.721
CLU,VLDLR,0.938
CNGA1,RPGR,0.73
CNGA1,GUCA1B,0.883
CNR1,GNB4,0.725
CNR1,GNB5,0.728
CNR1,GNG2,0.94
CNR1,MGLL,0.941
CNR1,NTRK2,0.822
CNR1,CNRIP1,0.752
CNTN1,CNTNAP2,0.751
CNTN1,L1CAM,0.945
CNTN1,MCAM,0.711
CNTN1,NFASC,0.998
CNTN1,NRCAM,0.969
CNTN1,PTPRB,0.865
CNTN1,PTPRZ1,0.992
CNTN1,NOTCH2,0.82
CNTN3,PTPRG,0.987
CNTN4,CNTNAP2,0.799
CNTN4,NLGN1,0.853
CNTN4,NLGN4X,0.791
CNTN4,PTPRG,0.96
CNTNAP2,DPP10,0.836
CNTNAP2,DPP6,0.842
CNTNAP2,NFASC,0.722
CNTNAP2,NLGN1,0.765
CNTNAP2,NLGN4X,0.867
CNTNAP2,FOXP2,0.977
CNTNAP2,PNMA2,0.81
COBL,GRB10,0.819
COL11A1,COL14A1,0.73
COL11A1,COL16A1,0.844
COL11A1,COL1A1,0.965
COL11A1,COL1A2,0.992
COL11A1,COL3A1,0.965
COL11A1,COL4A1,0.742
COL11A1,COL4A2,0.715
COL11A1,COL5A1,0.877
COL11A1,COL6A1,0.759
COL11A1,COL6A2,0.785
COL11A1,COL6A3,0.826
COL11A1,DDR2,0.77
COL11A1,HAPLN1,0.811
COL11A1,LUM,0.949
COL11A1,PCOLCE,0.765
COL11A1,THBS2,0.898
COL13A1,COL16A1,0.705
COL13A1,COL4A2,0.72
COL13A1,PLOD3,0.761
COL13A1,P4HA1,0.786
COL14A1,COL15A1,0.779
COL14A1,COL16A1,0.874
COL14A1,COL1A1,0.783
COL14A1,COL1A2,0.788
COL14A1,COL3A1,0.701
COL14A1,COL5A1,0.786
COL14A1,COL6A1,0.768
COL14A1,COL6A2,0.799
COL14A1,COL8A2,0.757
COL14A1,DCN,0.937
COL14A1,FN1,0.74
COL14A1,LUM,0.726
COL14A1,MFAP4,0.71
COL14A1,OGN,0.782
COL14A1,PRELP,0.732
COL15A1,COL1A1,0.713
COL15A1,COL1A2,0.702
COL15A1,COL3A1,0.791
COL15A1,COL4A1,0.74
COL15A1,COL4A2,0.777
COL15A1,COL5A1,0.793
COL15A1,COL6A1,0.76
COL15A1,COL6A2,0.777
COL15A1,COL8A1,0.801
COL15A1,SERPINH1,0.766
COL16A1,COL1A1,0.756
COL16A1,COL1A2,0.822
COL16A1,COL3A1,0.828
COL16A1,COL4A2,0.759
COL16A1,COL5A1,0.818
COL16A1,COL6A2,0.772
COL16A1,COL6A3,0.75
COL16A1,COL8A2,0.718
COL16A1,LUM,0.739
COL16A1,PLOD3,0.779
COL17A1,DSG1,0.783
COL17A1,LAMA4,0.86
COL17A1,PLOD3,0.778
COL1A1,COL1A2,0.999
COL1A1,COL3A1,0.999
COL1A1,COL4A1,0.827
COL1A1,COL5A1,0.994
COL1A1,COL6A1,0.969
COL1A1,COL6A2,0.954
COL1A1,COL6A3,0.974
COL1A1,COL8A1,0.765
COL1A1,CTHRC1,0.795
COL1A1,DCN,0.923
COL1A1,DDR2,0.856
COL1A1,FBN1,0.929
COL1A1,FKBP10,0.804
COL1A1,FMOD,0.792
COL1A1,FN1,0.974
COL1A1,IGF1,0.714
COL1A1,IGFBP3,0.75
COL1A1,ITGA1,0.879
COL1A1,ITGA10,0.829
COL1A1,ITGA4,0.83
COL1A1,ITGA5,0.944
COL1A1,ITGA7,0.75
COL1A1,ITGA8,0.765
COL1A1,ITGA9,0.704
COL1A1,LAMC1,0.77
COL1A1,LOX,0.808
COL1A1,LUM,0.981
COL1A1,MMP1,0.767
COL1A1,MMP2,0.828
COL1A1,NID1,0.739
COL1A1,PCOLCE,0.813
COL1A1,PDGFRB,0.831
COL1A1,PLOD3,0.71
COL1A1,POSTN,0.903
COL1A1,RUNX2,0.955
COL1A1,SDC4,0.745
COL1A1,SOX9,0.715
COL1A1,TAGLN,0.785
COL1A1,TGFB3,0.719
COL1A1,TGFBR1,0.721
COL1A1,THBS1,0.896
COL1A1,THY1,0.807
COL1A1,VIM,0.778
COL1A1,TIMP1,0.842
COL1A1,VWF,0.877
COL1A1,THBS2,0.828
COL1A1,P4HA1,0.754
COL1A1,SERPINH1,0.921
COL1A1,TNFRSF11B,0.729
COL1A2,COL3A1,0.999
COL1A2,COL4A1,0.757
COL1A2,COL4A2,0.786
COL1A2,COL5A1,0.989
COL1A2,COL6A1,0.875
COL1A2,COL6A2,0.908
COL1A2,COL6A3,0.968
COL1A2,COL8A1,0.771
COL1A2,CXCL12,0.727
COL1A2,DCN,0.93
COL1A2,FBLN2,0.713
COL1A2,FBLN5,0.705
COL1A2,FBN1,0.965
COL1A2,FKBP10,0.871
COL1A2,FN1,0.982
COL1A2,ITGA1,0.855
COL1A2,ITGA10,0.724
COL1A2,ITGA4,0.73
COL1A2,ITGA5,0.869
COL1A2,ITGA7,0.727
COL1A2,ITGA8,0.747
COL1A2,ITGA9,0.705
COL1A2,LAMC1,0.701
COL1A2,LOX,0.788
COL1A2,LUM,0.999
COL1A2,MMP2,0.853
COL1A2,PCOLCE,0.963
COL1A2,POSTN,0.918
COL1A2,SCARB1,0.739
COL1A2,SCARB2,0.737
COL1A2,SDC4,0.713
COL1A2,TAGLN,0.744
COL1A2,THY1,0.734
COL1A2,THBS2,0.858
COL1A2,VCAN,0.756
COL1A2,SERPINH1,0.879
COL24A1,LAMC1,0.731
COL3A1,COL4A1,0.856
COL3A1,COL4A2,0.817
COL3A1,COL5A1,0.983
COL3A1,COL6A1,0.926
COL3A1,COL6A2,0.894
COL3A1,COL6A3,0.952
COL3A1,CXCL12,0.739
COL3A1,DCN,0.935
COL3A1,DDR2,0.841
COL3A1,EFEMP2,0.719
COL3A1,FBLN5,0.724
COL3A1,FBN1,0.97
COL3A1,FN1,0.928
COL3A1,ITGA1,0.723
COL3A1,LAMA4,0.75
COL3A1,LOX,0.843
COL3A1,LUM,0.986
COL3A1,MMP2,0.799
COL3A1,PCOLCE,0.976
COL3A1,POSTN,0.976
COL3A1,TGFBR1,0.746
COL3A1,TGFBR2,0.75
COL3A1,TNXB,0.746
COL3A1,THBS2,0.804
COL3A1,VCAN,0.722
COL3A1,SERPINH1,0.876
COL4A1,COL4A2,0.999
COL4A1,COL5A1,0.915
COL4A1,COL6A1,0.832
COL4A1,COL6A2,0.81
COL4A1,COL6A3,0.809
COL4A1,COL8A1,0.736
COL4A1,FBN1,0.805
COL4A1,FN1,0.849
COL4A1,ITGA1,0.923
COL4A1,ITGA10,0.739
COL4A1,ITGA4,0.75
COL4A1,ITGA5,0.882
COL4A1,ITGA7,0.772
COL4A1,ITGA8,0.85
COL4A1,ITGA9,0.734
COL4A1,LAMA4,0.787
COL4A1,LAMC1,0.88
COL4A1,MMP2,0.821
COL4A1,NID1,0.855
COL4A1,PLOD3,0.874
COL4A1,SDC4,0.705
COL4A1,THBS1,0.774
COL4A1,THBS2,0.715
COL4A1,SERPINH1,0.818
COL4A1,NID2,0.74
COL4A2,COL5A1,0.872
COL4A2,COL6A1,0.81
COL4A2,COL6A2,0.813
COL4A2,COL6A3,0.792
COL4A2,COL8A1,0.712
COL4A2,FN1,0.75
COL4A2,ITGA1,0.893
COL4A2,ITGA10,0.733
COL4A2,ITGA4,0.744
COL4A2,ITGA5,0.803
COL4A2,ITGA7,0.769
COL4A2,ITGA8,0.752
COL4A2,ITGA9,0.74
COL4A2,LAMA4,0.798
COL4A2,LAMC1,0.814
COL4A2,MMP2,0.783
COL4A2,MSR1,0.823
COL4A2,NID1,0.823
COL4A2,PLOD3,0.802
COL4A2,SERPINH1,0.88
COL4A2,NID2,0.734
COL5A1,COL6A1,0.879
COL5A1,COL6A2,0.862
